#TIC_ID Sector Camera CCD 
439461262 sector03 1 1 
268529775 sector03 1 1 
28000157 sector03 1 1 
268639515 sector03 1 1 
439461266 sector03 1 1 
63788544 sector03 1 1 
28092974 sector03 1 1 
167456182 sector03 1 1 
77486652 sector03 1 1 
136847715 sector03 1 1 
439461607 sector03 1 1 
439462766 sector03 1 1 
63919734 sector03 1 1 
290172418 sector03 1 2 
441493794 sector03 1 2 
302411994 sector03 1 2 
92993104 sector03 1 2 
439412823 sector03 1 2 
24924439 sector03 1 2 
93018034 sector03 1 2 
29938816 sector03 1 2 
167440156 sector03 1 2 
54003038 sector03 1 2 
268751690 sector03 1 2 
10841608 sector03 1 2 
32550424 sector03 1 2 
299200024 sector03 1 2 
212376204 sector03 1 2 
441496022 sector03 1 2 
257396674 sector03 1 2 
29919606 sector03 1 2 
32548931 sector03 1 2 
419015227 sector03 1 2 
404462892 sector03 1 2 
257423014 sector03 1 2 
439411149 sector03 1 2 
164699360 sector03 1 2 
24909459 sector03 1 2 
54071067 sector03 1 2 
62382663 sector03 1 2 
24921015 sector03 1 2 
24926308 sector03 1 2 
29939671 sector03 1 2 
471015500 sector03 1 2 
404466233 sector03 1 2 
257499151 sector03 1 2 
25399365 sector03 1 2 
10843309 sector03 1 2 
54017904 sector03 1 2 
92994182 sector03 1 2 
32549206 sector03 1 2 
24926306 sector03 1 2 
439489871 sector03 1 2 
29922554 sector03 1 2 
92983695 sector03 1 2 
54002550 sector03 1 2 
92983696 sector03 1 2 
164772943 sector03 1 2 
164752935 sector03 1 2 
212378056 sector03 1 2 
469969841 sector03 1 2 
266749045 sector03 1 2 
24922543 sector03 1 2 
212383210 sector03 1 2 
29929276 sector03 1 2 
54018471 sector03 1 2 
29856076 sector03 1 2 
62422715 sector03 1 2 
257437494 sector03 1 2 
441494562 sector03 1 2 
25399578 sector03 1 2 
290177073 sector03 1 2 
369577651 sector03 1 2 
439500180 sector03 1 2 
10843453 sector03 1 2 
10837653 sector03 1 2 
29929813 sector03 1 2 
257421528 sector03 1 2 
62425510 sector03 1 2 
32535054 sector03 1 2 
439409759 sector03 1 2 
419050749 sector03 1 2 
471016448 sector03 1 2 
441494532 sector03 1 2 
439466792 sector03 1 2 
54017360 sector03 1 2 
32535846 sector03 1 2 
257422697 sector03 1 2 
257461062 sector03 1 2 
32549722 sector03 1 2 
439402367 sector03 1 2 
299198426 sector03 1 2 
404466594 sector03 1 2 
257516512 sector03 1 2 
10841125 sector03 1 2 
257460613 sector03 1 2 
266716154 sector03 1 2 
28117366 sector03 1 2 
382340790 sector03 1 2 
62425115 sector03 1 2 
257516302 sector03 1 2 
287202626 sector03 1 2 
62380999 sector03 1 2 
257505783 sector03 1 2 
29927929 sector03 1 2 
344333878 sector03 1 2 
423672297 sector03 1 2 
439501591 sector03 1 2 
471016660 sector03 1 2 
29922261 sector03 1 2 
10839203 sector03 1 2 
10862263 sector03 1 2 
471012331 sector03 1 2 
24928321 sector03 1 2 
423700357 sector03 1 2 
423699526 sector03 1 2 
441497009 sector03 1 2 
136844343 sector03 1 2 
212379407 sector03 1 2 
92984220 sector03 1 2 
62381815 sector03 1 2 
92982944 sector03 1 2 
439468795 sector03 1 2 
136842361 sector03 1 2 
92984547 sector03 1 2 
212382995 sector03 1 2 
92985211 sector03 1 2 
257484292 sector03 1 2 
24940526 sector03 1 2 
24925750 sector03 1 2 
423701220 sector03 1 2 
290170970 sector03 1 2 
32549233 sector03 1 2 
164698750 sector03 1 2 
25398652 sector03 1 2 
164681424 sector03 1 2 
54016434 sector03 1 2 
28117051 sector03 1 2 
10841565 sector03 1 2 
423702121 sector03 1 2 
10880161 sector03 1 2 
268765586 sector03 1 2 
419015471 sector03 1 2 
164791293 sector03 1 2 
32552036 sector03 1 2 
167440100 sector03 1 2 
10835598 sector03 1 2 
32535669 sector03 1 2 
257437952 sector03 1 2 
439501544 sector03 1 2 
136844168 sector03 1 2 
164771180 sector03 1 2 
167439750 sector03 1 2 
419015559 sector03 1 2 
439495859 sector03 1 2 
257433980 sector03 1 2 
404467445 sector03 1 2 
212381121 sector03 1 2 
212381464 sector03 1 2 
32549023 sector03 1 2 
62425116 sector03 1 2 
164697903 sector03 1 2 
164696698 sector03 1 2 
92982843 sector03 1 2 
439495950 sector03 1 2 
469970118 sector03 1 2 
471012330 sector03 1 2 
